Risk_Factor,Condition,Weight,Gender_Specific_Risk,Lifestyle_Profile,Risk_Score,Recommendation
Obesity,Diabetes,Medium,Female,Active,5,Regular screening advised
Family History,Cancer Risk,High,Female,Smoker,2,Regular screening advised
Age > 50,Stroke,High,Male,Alcohol Consumer,1,Regular screening advised
Sedentary Lifestyle,Diabetes,High,Female,Alcohol Consumer,9,High-risk monitoring required
Female Pregnancy,Anemia,High,Both,Smoker,6,High-risk monitoring required
Family History,Diabetes,High,Female,Smoker,7,Periodic diagnostic assessment
Age > 50,Stroke,High,Male,Active,8,Preventive intervention suggested
Obesity,Diabetes,High,Both,Sedentary,4,High-risk monitoring required
Female Pregnancy,Hypertension,High,Female,Alcohol Consumer,7,Lifestyle modification needed
Age > 50,Hypertension,High,Female,Active,6,Regular screening advised
Family History,Heart Disease,Medium,Both,Smoker,7,Periodic diagnostic assessment
Smoking,COPD,Medium,Female,Active,7,High-risk monitoring required
Poor Diet,Diabetes,High,Both,Alcohol Consumer,9,Regular screening advised
Obesity,Hypertension,High,Female,Alcohol Consumer,8,Lifestyle modification needed
Female Pregnancy,Gestational Diabetes,Medium,Both,Moderately Active,4,Lifestyle modification needed
Obesity,Heart Disease,High,Male,Smoker,1,Lifestyle modification needed
Family History,Diabetes,High,Male,Sedentary,8,Regular screening advised
Obesity,Heart Disease,High,Female,Active,6,Lifestyle modification needed
Poor Diet,Vitamin Deficiency,Low,Female,Smoker,7,Periodic diagnostic assessment
High Cholesterol,Atherosclerosis,Medium,Male,Sedentary,2,Regular screening advised
Smoking,COPD,High,Male,Active,10,High-risk monitoring required
Obesity,Hypertension,High,Both,Active,5,Regular screening advised
Poor Diet,Vitamin Deficiency,Medium,Female,Smoker,6,High-risk monitoring required
Obesity,Heart Disease,High,Both,Moderately Active,2,Preventive intervention suggested
Age > 50,Hypertension,High,Female,Moderately Active,5,Lifestyle modification needed
Female Pregnancy,Hypertension,Medium,Both,Sedentary,3,Regular screening advised
Poor Diet,Obesity,Medium,Both,Active,5,Periodic diagnostic assessment
Female Pregnancy,Hypertension,High,Female,Sedentary,7,Regular screening advised
Family History,Cancer Risk,High,Male,Moderately Active,1,Lifestyle modification needed
Female Pregnancy,Hypertension,Medium,Both,Moderately Active,1,Periodic diagnostic assessment
High Cholesterol,Heart Disease,Medium,Female,Sedentary,7,Preventive intervention suggested
Smoking,Cancer Risk,High,Female,Moderately Active,9,Preventive intervention suggested
Smoking,Lung Disease,Medium,Both,Active,5,Preventive intervention suggested
Obesity,Heart Disease,Low,Both,Smoker,5,Lifestyle modification needed
Sedentary Lifestyle,Obesity,High,Male,Active,6,Periodic diagnostic assessment
Smoking,Cancer Risk,High,Male,Smoker,7,Lifestyle modification needed
Age > 50,Heart Disease,Medium,Female,Moderately Active,1,Regular screening advised
Male >45,Hypertension,Medium,Female,Moderately Active,7,Lifestyle modification needed
Age > 50,Heart Disease,Medium,Female,Sedentary,10,Lifestyle modification needed
High Cholesterol,Stroke,High,Both,Active,8,Preventive intervention suggested
Alcohol Use,Pancreatitis,High,Female,Active,2,Regular screening advised
Smoking,Lung Disease,Medium,Both,Alcohol Consumer,4,Regular screening advised
Poor Diet,Vitamin Deficiency,High,Female,Sedentary,2,Periodic diagnostic assessment
Obesity,Hypertension,Medium,Both,Smoker,5,Periodic diagnostic assessment
Obesity,Diabetes,Medium,Both,Alcohol Consumer,3,Preventive intervention suggested
Age > 50,Stroke,High,Both,Alcohol Consumer,8,Regular screening advised
Male >45,Hypertension,Medium,Both,Active,4,Regular screening advised
Obesity,Heart Disease,High,Male,Alcohol Consumer,8,High-risk monitoring required
Smoking,Lung Disease,Low,Male,Moderately Active,2,Periodic diagnostic assessment
Alcohol Use,Liver Disease,Low,Male,Alcohol Consumer,5,High-risk monitoring required
Male >45,Cardiac Risk,Medium,Both,Active,4,High-risk monitoring required
